Entity,Code,Year,Forest expansion
Albania,ALB,1990,12000
Albania,ALB,2000,15600
Algeria,DZA,1990,6000
Algeria,DZA,2000,48400
Algeria,DZA,2010,9000
Algeria,DZA,2015,4000
Andorra,AND,2015,0
Argentina,ARG,1990,31000
Argentina,ARG,2000,11000
Argentina,ARG,2010,19000
Argentina,ARG,2015,30000
Aruba,ABW,1990,0
Aruba,ABW,2000,0
Aruba,ABW,2010,0
Aruba,ABW,2015,0
Australia,AUS,1990,419390
Australia,AUS,2000,405500
Australia,AUS,2010,1126520
Austria,AUT,1990,9700
Austria,AUT,2000,10300
Austria,AUT,2010,9400
Austria,AUT,2015,9400
Azerbaijan,AZE,2000,43250
Azerbaijan,AZE,2010,90720
Azerbaijan,AZE,2015,100520
Bahrain,BHR,1990,20
Bahrain,BHR,2000,20
Bahrain,BHR,2010,20
Bahrain,BHR,2015,20
Bangladesh,BGD,1990,7500
Bangladesh,BGD,2000,0
Bangladesh,BGD,2010,17200
Bangladesh,BGD,2015,0
Belarus,BLR,2000,33310
Belarus,BLR,2010,24000
Belarus,BLR,2015,30320
Belgium,BEL,2010,1700
Belgium,BEL,2015,1500
Belize,BLZ,1990,0
Belize,BLZ,2000,0
Belize,BLZ,2010,0
Belize,BLZ,2015,0
Bhutan,BTN,1990,9930
Bhutan,BTN,2000,10120
Bhutan,BTN,2010,2320
Bhutan,BTN,2015,2410
Bolivia,BOL,1990,0
Bolivia,BOL,2000,-1490
Bolivia,BOL,2010,-21070
Bolivia,BOL,2015,3850
Brazil,BRA,1990,473860
Brazil,BRA,2000,1178510
Brazil,BRA,2010,328620
Brazil,BRA,2015,242660
Bulgaria,BGR,1990,4800
Bulgaria,BGR,2000,36200
Bulgaria,BGR,2010,19200
Bulgaria,BGR,2015,12000
Burundi,BDI,1990,0
Burundi,BDI,2000,0
Burundi,BDI,2010,17140
Burundi,BDI,2015,0
Cameroon,CMR,1990,300
Cameroon,CMR,2000,2000
Cameroon,CMR,2010,2000
Cameroon,CMR,2015,2000
Canada,CAN,1990,7320
Canada,CAN,2000,2470
Canada,CAN,2010,0
Canada,CAN,2015,0
Cape Verde,CPV,2000,3140
Cape Verde,CPV,2010,2200
Cape Verde,CPV,2015,1120
Cayman Islands,CYM,1990,0
Cayman Islands,CYM,2000,0
Cayman Islands,CYM,2010,0
