Entity;Code;Year;Deaths;Births
World;OWID_WRL;1950;51344793;97375317
World;OWID_WRL;1951;51137291;97429766
World;OWID_WRL;1952;50778719;97655000
World;OWID_WRL;1953;50533090;98112829
World;OWID_WRL;1954;50400358;98803235
World;OWID_WRL;1955;50377233;99725288
World;OWID_WRL;1956;50452237;100874502
World;OWID_WRL;1957;50610029;102239146
World;OWID_WRL;1958;50820915;103799696
World;OWID_WRL;1959;51032740;105525371
World;OWID_WRL;1960;51186550;107374821
World;OWID_WRL;1961;51223264;109298087
World;OWID_WRL;1962;51089292;111234454
World;OWID_WRL;1963;50758026;113119839
World;OWID_WRL;1964;50240363;114895919
World;OWID_WRL;1965;49585335;116511220
World;OWID_WRL;1966;48870513;117933923
World;OWID_WRL;1967;48187690;119167280
World;OWID_WRL;1968;47608042;120214393
World;OWID_WRL;1969;47162218;121065655
World;OWID_WRL;1970;46852299;121681474
World;OWID_WRL;1971;46650596;122020800
World;OWID_WRL;1972;46501725;122109507
World;OWID_WRL;1973;46364735;122012235
World;OWID_WRL;1974;46231827;121812401
World;OWID_WRL;1975;46108074;121634843
World;OWID_WRL;1976;46009795;121615449
World;OWID_WRL;1977;45960393;121856427
World;OWID_WRL;1978;45975910;122430299
World;OWID_WRL;1979;46058370;123373745
World;OWID_WRL;1980;46204190;124740190
World;OWID_WRL;1981;46404009;126554313
World;OWID_WRL;1982;46642424;128703855
World;OWID_WRL;1983;46906250;131029235
World;OWID_WRL;1984;47189045;133376961
World;OWID_WRL;1985;47490005;135507655
World;OWID_WRL;1986;47813032;137170100
World;OWID_WRL;1987;48162617;138230999
World;OWID_WRL;1988;48538975;138634320
World;OWID_WRL;1989;48936552;138390313
World;OWID_WRL;1990;49347791;137597902
World;OWID_WRL;1991;49764300;136436000
World;OWID_WRL;1992;50177722;135161797
World;OWID_WRL;1993;50580510;133995938
World;OWID_WRL;1994;50967115;133057321
World;OWID_WRL;1995;51335925;132414320
World;OWID_WRL;1996;51689047;132065189
World;OWID_WRL;1997;52030524;131916649
World;OWID_WRL;1998;52361735;131894786
World;OWID_WRL;1999;52679835;131991413
World;OWID_WRL;2000;52978352;132214160
World;OWID_WRL;2001;53249602;132577968
World;OWID_WRL;2002;53489264;133082316
World;OWID_WRL;2003;53696120;133710590
World;OWID_WRL;2004;53871987;134433017
World;OWID_WRL;2005;54016094;135211570
World;OWID_WRL;2006;54128359;136006145
World;OWID_WRL;2007;54218245;136778920
World;OWID_WRL;2008;54299904;137495393
World;OWID_WRL;2009;54388442;138128933
World;OWID_WRL;2010;54498935;138663626
World;OWID_WRL;2011;54644547;139098870
World;OWID_WRL;2012;54836846;139454437
World;OWID_WRL;2013;55088432;139746195
World;OWID_WRL;2014;55412196;139975840
World;OWID_WRL;2015;55822989;140139133
World;OWID_WRL;2016;56331837;140229680
World;OWID_WRL;2017;56935172;140248778
World;OWID_WRL;2018;57625149;140204090
World;OWID_WRL;2019;58394378;140108052
