Name;Visitors;TicketPrice;Built;Cost (millions);Size;EstValue (billions);THRC
Walt Disney World - Magic Kingdom | USA;6941000;122;1971;320;380000;22;53000
Disneyland | USA;3674000;149;1955;18;350000;18;49000
Tokyo Disneyland | Japan;4160000;60;1983;NA;480000;12;33000
Tokyo DisneySea | Japan;3400000;60;2001;NA;390000;9;33000
EPCOT at Walt Disney World | USA;4044000;97;1982;1000;820000;9;33000
Walt Disney World - Disney’s Animal Kingdom | USA;4166000;97;1998;NA;1170000;8;30000
Disney California Adventure Park | USA;1919000;149;2001;1000;270000;7;28000
Walt Disney World - Disney’s Hollywood Studios | USA;3675000;97;1989;NA;310000;7;39000
Hong Kong Disneyland | China;1700000;82;2005;NA;280000;5;54000
Disneyland Paris - Disneyland Park | France;2620000;108;1992;NA;390000;2;40000
Disneyland Paris - Walt Disney Studios Park | France;1410000;129;2002;NA;170000;0,711;28000
Typhoon Lagoon | USA;2248000;62;1989;NA;95000;0,238;3000
Blizzard Beach | USA;316000;62;1995;NA;120000;0,219;7000
