DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2018-03,1.4,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2018-04,1.2,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2018-05,2.0,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2018-06,2.0,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2018-07,2.2,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2018-08,2.1,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2018-09,2.1,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2018-10,2.3,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2018-11,1.9,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2018-12,1.5,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2019-01,1.4,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2019-02,1.5,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2019-03,1.4,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2019-04,1.7,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2019-05,1.2,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2019-06,1.3,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2019-07,1.0,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2019-08,1.0,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2019-09,0.8,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2019-10,0.7,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2019-11,1.0,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2019-12,1.3,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2020-01,1.4,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2020-02,1.2,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2020-03,0.7,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2020-04,0.3,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2020-05,0.1,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2020-06,0.3,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2020-07,0.4,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2020-08,-0.2,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2020-09,-0.3,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2020-10,-0.3,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2020-11,-0.3,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2020-12,-0.3,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2021-01,0.9,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2021-02,0.9,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2021-03,1.3,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2021-04,1.6,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2021-05,2.0,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2021-06,1.9,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2021-07,2.2,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2021-08,3.0,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2021-09,3.4,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2021-10,4.1,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2021-11,4.9,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2021-12,5.0,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2022-01,5.1,
ESTAT:PRC_HICP_MANR(1.0),01/04/22 11:00:00,M,RCH_A,CP00,EA19,2022-02,5.9,
