Prognose(-interval);Jaar;Grijze_druk;Levend_geboren;Overledenen;Levensverwachting_bij_geboorte;Immigratie;Emigratie;Migratie_saldo
Prognose;2022;34,1;178470;158446;82,33;280910;158848;122063
Prognose;2023;34,7;183115;157455;82,67;288563;181990;106573
Prognose;2024;35,4;186985;159725;82,82;289479;204453;85026
Prognose;2025;36,1;190019;162023;82,98;293378;213831;79547
Prognose;2026;36,9;193831;164364;83,14;294732;220524;74209
Prognose;2027;37,8;195697;166756;83,3;295894;225877;70017
Prognose;2028;38,7;198156;169206;83,46;297283;229857;67426
Prognose;2029;39,6;200211;171715;83,62;297032;232844;64188
Prognose;2030;40,5;201679;174267;83,78;296506;234742;61764
Prognose;2031;41,3;202799;176846;83,94;296341;235988;60353
Prognose;2032;42,1;203319;179424;84,1;295627;236911;58716
Prognose;2033;42,9;203687;181975;84,26;294901;237477;57424
Prognose;2034;43,6;203494;184472;84,42;294116;237798;56318
Prognose;2035;44,5;202847;186895;84,58;294056;238158;55898
Prognose;2036;45,3;201731;189217;84,74;293943;238549;55394
Prognose;2037;46;200179;191420;84,9;293783;238949;54834
Prognose;2038;46,4;198699;193483;85,05;293616;239263;54353
Prognose;2039;46,7;197425;195386;85,21;293434;239490;53944
Prognose;2040;46,8;196114;197110;85,36;293245;239699;53546
Prognose;2041;46,7;194821;198670;85,51;293030;239849;53181
Prognose;2042;46,6;193622;200076;85,66;293021;240043;52978
Prognose;2043;46,5;192575;201334;85,8;293019;240270;52749
Prognose;2044;46,4;191696;202451;85,95;293026;240538;52488
Prognose;2045;46,3;190940;203510;86,09;293031;240799;52232
Prognose;2046;46,2;190340;204429;86,24;293043;241055;51988
Prognose;2047;46,1;189925;205304;86,38;293046;241297;51749
Prognose;2048;45,9;189738;206184;86,52;293071;241544;51527
Prognose;2049;45,7;189811;207066;86,66;293120;241808;51312
Prognose;2050;45,5;190156;207918;86,8;293201;242041;51160
Prognose;2051;45,4;190790;208704;86,93;293315;242405;50910
Prognose;2052;45,4;191718;209371;87,07;293393;242729;50664
Prognose;2053;45,3;192944;209894;87,2;293475;242987;50488
Prognose;2054;45,3;194439;210234;87,33;293590;243229;50361
Prognose;2055;45,3;196165;210361;87,47;293682;243463;50219
Prognose;2056;45,4;198052;210247;87,6;293780;243669;50111
Prognose;2057;45,6;200033;209875;87,72;293909;243876;50033
Prognose;2058;45,7;202034;209240;87,85;293996;244059;49937
Prognose;2059;45,9;203981;208337;87,98;294077;244237;49840
Prognose;2060;46;205799;207188;88,1;294215;244392;49823
Prognose;2061;46,2;207424;205801;88,23;294306;244531;49775
Prognose;2062;46,4;208816;204211;88,35;294422;244684;49738
Prognose;2063;46,6;209949;202462;88,47;294504;244823;49681
Prognose;2064;46,9;210814;200607;88,59;294584;244927;49657
Prognose;2065;47,3;211411;198723;88,71;294666;245046;49620
Prognose;2066;47,8;211753;196879;88,82;294757;245142;49615
Prognose;2067;48,2;211866;195127;88,94;294834;245237;49597
Prognose;2068;48,6;211784;193532;89,05;294897;245315;49582
Prognose;2069;49;211544;192133;89,17;294968;245380;49588
Prognose;2070;49,3;211187;191022;89,28;294968;245615;49353
Ondergrens 95%-prognose-interval;2021;;171073;155101;80,78;211888;124884;70296
Ondergrens 95%-prognose-interval;2022;34;166750;141908;81,24;231803;139068;70331
Ondergrens 95%-prognose-interval;2023;34,4;168797;137829;81,33;229582;156548;44895
Ondergrens 95%-prognose-interval;2024;34,8;170357;137424;81,28;225050;174805;18881
Ondergrens 95%-prognose-interval;2025;35,4;171109;137840;81,26;224231;180257;10418
Ondergrens 95%-prognose-interval;2026;35,9;172539;139045;81,26;221689;183431;2908
Ondergrens 95%-prognose-interval;2027;36,5;171870;140194;81,27;219404;185947;-3079
