"Geslacht";"Leeftijd";"Burgerlijke staat";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Aa en Hunze";25399
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Aalburg";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Aalsmeer";31991
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Aalten";27120
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Ter Aar";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Aardenburg";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Aarle-Rixtel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Abcoude";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Achtkarspelen";27900
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Adorp";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Aduard";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Akersloot";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Alblasserdam";20136
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Albrandswaard";25814
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Alkemade";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Alkmaar";109896
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Almelo";73132
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Almere";214715
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Alphen aan den Rijn";112587
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Alphen en Riel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Alphen-Chaam";10373
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Altena";56352
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Ambt Delden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Ambt Montfort";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Ameland";3746
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Amerongen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Amersfoort";157462
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Ammerzoden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Amstelveen";90829
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Amsterdam";873338
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Andijk";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Angerlo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Anloo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Anna Paulowna";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Apeldoorn";164781
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Appingedam";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Arcen en Velden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Arnemuiden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Arnhem";162424
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Assen";68836
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Asten";16817
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Avereest";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Axel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Baarle-Nassau";6899
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Baarn";24792
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Baexem";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Baflo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bakel en Milheeze";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Barendrecht";48643
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Barneveld";59992
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Barsingerhorn";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bathmen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bedum";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Beegden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Beek";15875
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Beek en Donk";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Beekdaelen";36065
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Beemster";10110
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Beers";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Beerta";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Beesel";13450
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Beilen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Belfeld";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bellingwedde";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bemmel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bennebroek";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Benschop";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Benthuizen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Berg en Dal";35010
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bergambacht";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bergeijk";18754
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bergen (L.)";13108
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bergen (NH.)";29715
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bergen op Zoom";67514
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bergeyk";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bergh";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Berghem";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bergschenhoek";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Berkel en Rodenrijs";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Berkel-Enschot";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Berkelland";43846
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Berlicum";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bernheze";31455
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bernisse";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Best";30216
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Beuningen";26157
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Beverwijk";41863
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bierum";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"het Bildt";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"De Bilt";43384
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Binnenmaas";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bladel";20529
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bladel en Netersel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Blaricum";11954
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bleiswijk";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bloemendaal";23478
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Boarnsterhim";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bodegraven";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bodegraven-Reeuwijk";35278
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Boekel";10959
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Ten Boer";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bolsward";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Borculo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Borger";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Borger-Odoorn";25598
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Born";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Borne";23668
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Borsele";22818
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Boskoop";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Boxmeer";29609
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Boxtel";32973
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Brakel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Breda";184126
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Brederwiede";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Breukelen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Brielle";17439
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Broek in Waterland";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Broekhuizen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bronckhorst";36087
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Brouwershaven";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bruinisse";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Brummen";20884
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Brunssum";27670
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Budel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bunnik";15341
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bunschoten";22019
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Buren";27009
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Bussum";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Callantsoog";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Capelle aan den IJssel";67319
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Castricum";36086
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Chaam";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Coevorden";35317
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Cothen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Cranendonck";21001
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Cromstrijen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Cuijk";25404
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Cuijk en Sint Agatha";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Culemborg";29121
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dalen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dalfsen";28901
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dantumadeel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dantumadiel";18943
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Delft";103581
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Delfzijl";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Denekamp";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Deurne";32437
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Deventer";101236
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Didam";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Diemen";31334
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Diepenheim";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Diepenveen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Diessen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Diever";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dinkelland";26606
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dinteloord en Prinsenland";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dinxperlo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dirksland";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dodewaard";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Doesburg";11064
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Doetinchem";58270
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Domburg";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dongen";26368
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dongeradeel";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Doorn";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dordrecht";119115
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Drechterland";19838
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Driebergen-Rijsenburg";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Driebruggen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Drimmelen";27325
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dronten";42011
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Drunen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Druten";18991
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Duiveland";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Duiven";25066
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Den Dungen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dussen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Dwingeloo";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Echt";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Echteld";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Echt-Susteren";31751
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Edam-Volendam";36268
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Ede";118530
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Eelde";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Eemnes";9362
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Eemsdelta";45587
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Eemsmond";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Eenrum";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Eersel";19528
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Egmond";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Eibergen";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Eijsden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Eijsden-Margraten";25900
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Eindhoven";235691
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Elburg";23429
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Elst";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Emmen";107024
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Enkhuizen";18637
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Enschede";159732
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Epe";33198
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Ermelo";27016
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Erp";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Esch";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Etten-Leur";43869
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Ezinge";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2021";"Ferwerderadeel";
